ACTIVITY;SPECIFIC MOTION;METs
bicycling;bicycling, mountain, uphill, vigorous;14,00
bicycling;bicycling, mountain, competitive, racing;16,00
bicycling;bicycling, BMX;8,50
bicycling;bicycling, mountain, general;8,50
bicycling;bicycling, 10 mph, leisure, to work or for pleasure;4,00
bicycling;bicycling, to/from work, self selected pace;6,80
bicycling;bicycling, on dirt or farm road, moderate pace;5,80
bicycling;bicycling, general;7,50
bicycling;bicycling, leisure, 5.5 mph;3,50
bicycling;bicycling, leisure, 9.4 mph;5,80
bicycling;bicycling, 10-11.9 mph, leisure, slow, light effort;6,80
bicycling;bicycling, 12-13.9 mph, leisure, moderate effort;8,00
bicycling;bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort;10,00
bicycling;bicycling, 16-19 mph, racing/not drafting or > 19 mph drafting, very fast, racing general;12,00
bicycling;bicycling, > 20 mph, racing, not drafting;15,80
bicycling;bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm;8,50
bicycling;bicycling, 12 mph, standing, hands on brake hoods, 60 rpm;9,00
bicycling;unicycling;5,00
conditioning exercise;activity promoting video game (e.g., Wii Fit), light effort (e.g., balance, yoga);2,30
conditioning exercise;activity promoting video game (e.g., Wii Fit), moderate effort (e.g., aerobic, resistance);3,80
conditioning exercise;activity promoting video/arcade game (e.g., Exergaming, Dance Dance Revolution), vigorous effort;7,20
conditioning exercise;army type obstacle course exercise, boot camp training program;5,00
conditioning exercise;bicycling, stationary, general;7,00
conditioning exercise;bicycling, stationary, 30-50 watts, very light to light effort;3,50
conditioning exercise;bicycling, stationary, 90-100 watts, moderate to vigorous effort;6,80
conditioning exercise;bicycling, stationary, 101-160 watts, vigorous effort;8,80
conditioning exercise;bicycling, stationary, 161-200 watts, vigorous effort;11,00
conditioning exercise;bicycling, stationary, 201-270 watts, very vigorous effort;14,00
conditioning exercise;bicycling, stationary, 51-89 watts, light-to-moderate effort;4,80
conditioning exercise;bicycling, stationary, RPM/Spin bike class;8,50
conditioning exercise;calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort;8,00
conditioning exercise;calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort;3,80
conditioning exercise;calisthenics (e.g., situps, abdominal crunches), light effort;2,80
conditioning exercise;calisthenics, light or moderate effort, general (e.g., back exercises), going up & down from floor ( 150);3,50
conditioning exercise;circuit training, moderate effort;4,30
conditioning exercise;circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity;8,00
conditioning exercise;CurvesTM exercise routines in women;3,50
conditioning exercise;Elliptical trainer, moderate effort;5,00
conditioning exercise;resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort;6,00
conditioning exercise;resistance (weight) training, squats , slow or explosive effort;5,00
conditioning exercise;resistance (weight) training, multiple exercises, 8-15 repetitions at varied resistance;3,50
conditioning exercise;health club exercise, general;5,50
conditioning exercise;health club exercise classes, general, gym/weight training combined in one visit;5,00
conditioning exercise;health club exercise, conditioning classes;7,80
conditioning exercise;home exercise, general;3,80
conditioning exercise;stair-treadmill ergometer, general;9,00
conditioning exercise;rope skipping, general;12,30
conditioning exercise;rowing, stationary ergometer, general, vigorous effort;6,00
conditioning exercise;rowing, stationary, general, moderate effort;4,80
conditioning exercise;rowing, stationary, 100 watts, moderate effort;7,00
conditioning exercise;rowing, stationary, 150 watts, vigorous effort;8,50
conditioning exercise;rowing, stationary, 200 watts, very vigorous effort;12,00
conditioning exercise;ski machine, general;6,80
conditioning exercise;slide board exercise, general;11,00
conditioning exercise;slimnastics, jazzercise;6,00
conditioning exercise;stretching, mild;2,30
conditioning exercise;pilates, general;3,00
conditioning exercise;teaching exercise class (e.g., aerobic, water);6,80
conditioning exercise;therapeutic exercise ball, Fitball exercise;2,80
conditioning exercise;upper body exercise, arm ergometer;2,80
conditioning exercise;upper body exercise, stationary bicycle – Airdyne (arms only) 40 rpm, moderate;4,30
conditioning exercise;water aerobics, water calisthenics, water exercise;5,30
conditioning exercise;whirlpool, sitting;1,30
conditioning exercise;video exercise workouts, TV conditioning programs (e.g., yoga, stretching), light effort;2,30
conditioning exercise;video exercise workouts, TV conditioning programs (e.g., cardio-resistance), moderate effort;4,00
conditioning exercise;video exercise workouts, TV conditioning programs (e.g., cardio-resistance), vigorous effort;6,00
conditioning exercise;yoga, Hatha;2,50
conditioning exercise;yoga, Power;4,00
conditioning exercise;yoga, Nadisodhana;2,00
conditioning exercise;yoga, Surya Namaskar;3,30
conditioning exercise;native New Zealander physical activities (e.g., Haka Powhiri, Moteatea, Waita Tira, Whakawatea, etc.), general, moderate effort;5,30
conditioning exercise;native New Zealander physical activities (e.g., Haka, Taiahab), general, vigorous effort;6,80
dancing;ballet, modern, or jazz, general, rehearsal or class;5,00
dancing;ballet, modern, or jazz, performance, vigorous effort;6,80
dancing;tap;4,80
dancing;aerobic, general;7,30
dancing;aerobic, step, with 6 – 8 inch step;7,50
dancing;aerobic, step, with 10 – 12 inch step;9,50
dancing;aerobic, step, with 4-inch step;5,50
dancing;bench step class, general;8,50
dancing;aerobic, low impact;5,00
dancing;aerobic, high impact;7,30
dancing;aerobic dance wearing 10-15 lb weights;10,00
dancing;ethnic or cultural dancing (e.g., Greek, Middle Eastern, hula, salsa, merengue, bamba y plena, flamenco, belly, and swing);4,50
dancing;ballroom, fast;5,50
dancing;general dancing (e.g., disco, folk, Irish step dancing, line dancing, polka, contra, country);7,80
dancing;ballroom dancing, competitive, general;11,30
dancing;ballroom, slow (e.g., waltz, foxtrot, slow dancing, samba, tango, 19th century dance, mambo, cha cha);3,00
dancing;Anishinaabe Jingle Dancing;5,50
dancing;Caribbean dance (Abakua, Beguine, Bellair, Bongo, Brukin’s, Caribbean Quadrills, Dinki Mini, Gere, Gumbay, Ibo, Jonkonnu, Kumina, Oreisha, Jambu);3,50
fishing and hunting;fishing, general;3,50
fishing and hunting;fishing, crab fishing;4,50
fishing and hunting;fishing, catching fish with hands;4,00
fishing and hunting;fishing related, digging worms, with shovel;4,30
fishing and hunting;fishing from river bank and walking;4,00
fishing and hunting;fishing from boat or canoe, sitting;2,00
fishing and hunting;fishing from river bank, standing;3,50
fishing and hunting;fishing in stream, in waders;6,00
fishing and hunting;fishing, ice, sitting;2,00
fishing and hunting;fishing, jog or line, standing, general;1,80
fishing and hunting;fishing, dip net, setting net and retrieving fish, general;3,50
fishing and hunting;fishing, set net, setting net and retrieving fish, general;3,80
fishing and hunting;fishing, fishing wheel, setting net and retrieving fish, general;3,00
fishing and hunting;fishing with a spear, standing;2,30
fishing and hunting;hunting, bow and arrow, or crossbow;2,50
fishing and hunting;hunting, deer, elk, large game;6,00
fishing and hunting;hunting large game, dragging carcass;11,30
fishing and hunting;hunting large marine animals;4,00
fishing and hunting;hunting large game, from a hunting stand, limited walking;2,50
fishing and hunting;hunting large game from a car, plane, or boat;2,00
fishing and hunting;hunting, duck, wading;2,50
fishing and hunting;hunting, flying fox, squirrel;3,00
fishing and hunting;hunting, general;5,00
fishing and hunting;hunting, pheasants or grouse;6,00
fishing and hunting;hunting, birds;3,30
fishing and hunting;hunting, rabbit, squirrel, prairie chick, raccoon, small game;5,00
fishing and hunting;hunting, pigs, wild;3,30
fishing and hunting;trapping game, general;2,00
fishing and hunting;hunting, hiking with hunting gear;9,50
fishing and hunting;pistol shooting or trap shooting, standing;2,50
fishing and hunting;rifle exercises, shooting, lying down;2,30
fishing and hunting;rifle exercises, shooting, kneeling or standing;2,50
home activities;cleaning, sweeping carpet or floors, general;3,30
home activities;cleaning, sweeping, slow, light effort;2,30
home activities;cleaning, sweeping, slow, moderateeffort;3,80
home activities;cleaning, heavy or major (e.g. wash car, wash windows, clean garage), moderate effort;3,50
home activities;cleaning, mopping, standing, moderate effort;3,50
home activities;cleaning windows, washing windows, general;3,20
home activities;mopping, standing, light effort;2,50
home activities;polishing floors, standing, walking slowly, using electric polishing machine;4,50
home activities;multiple household tasks all at once, light effort;2,80
home activities;multiple household tasks all at once, moderate effort;3,50
home activities;multiple household tasks all at once, vigorous effort;4,30
home activities;cleaning, house or cabin, general, moderate effort;3,30
home activities;dusting or polishing furniture, general;2,30
home activities;kitchen activity, general, (e.g., cooking, washing dishes, cleaning up), moderate effort;3,30
home activities;cleaning, general (straightening up, changing linen, carrying out trash, light effort;2,50
home activities;wash dishes, standing or in general (not broken into stand/walk components);1,80
home activities;wash dishes, clearing dishes from table, walking, light effort;2,50
home activities;vacuuming, general, moderate effort;3,30
home activities;butchering animals, small;3,00
home activities;butchering animal, large, vigorous effort;6,00
home activities;cutting and smoking fish, drying fish or meat;2,30
home activities;tanning hides, general;4,00
home activities;cooking or food preparation, moderate effort;3,50
home activities;cooking or food preparation – standing or sitting or in general (not broken into stand/walk components), manual appliances, light effort;2,00
home activities;serving food, setting table, implied walking or standing;2,50
home activities;cooking or food preparation, walking;2,50
home activities;feeding household animals;2,50
home activities;putting away groceries (e.g. carrying groceries, shopping without a grocery cart), carrying packages;2,50
home activities;carrying groceries upstairs;7,50
home activities;cooking Indian bread on an outside stove;3,00
home activities;food shopping with or without a grocery cart, standing or walking;2,30
home activities;non-food shopping, with or without a cart, standing or walking;2,30
home activities;ironing;1,80
home activities;knitting, sewing, light effort, wrapping presents, sitting;1,30
home activities;sewing with a machine;2,80
home activities;laundry, fold or hang clothes, put clothes in washer or dryer, packing suitcase, washing clothes by hand, implied standing, light effort;2,00
home activities;laundry, hanging wash, washing clothes by hand, moderate effort;4,00
home activities;laundry, putting away clothes, gathering clothes to pack, putting away laundry, implied walking;2,30
home activities;making bed, changing linens;3,30
home activities;maple syruping/sugar bushing (including carrying buckets, carrying wood);5,00
home activities;moving furniture, household items, carrying boxes;5,80
home activities;moving, lifting light loads;5,00
home activities;organizing room;4,80
home activities;scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, moderate effort;3,50
home activities;scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, light effort;2,00
home activities;scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, vigorous effort;6,50
home activities;sweeping garage, sidewalk or outside of house;4,00
home activities;standing, packing/unpacking boxes, occasional lifting of lightweight household items, loading or unloading items in car, moderate effort;3,50
home activities;implied walking, putting away household items, moderate effort;3,00
home activities;watering plants;2,50
home activities;building a fire inside;2,50
home activities;moving household items upstairs, carrying boxes or furniture;9,00
home activities;standing, light effort tasks (pump gas, change light bulb, etc.);2,00
home activities;walking, moderate effort tasks, non-cleaning (readying to leave, shut/lock doors, close windows, etc.);3,50
home activities;sitting, playing with child(ren), light effort, only active periods;2,20
home activities;standing, playing with child(ren) light effort, only active periods;2,80
home activities;walking/running, playing with child(ren), moderate effort, only active periods;3,50
home activities;walking/running, playing with child(ren), vigorous effort, only active periods;5,80
home activities;walking and carrying small child, child weighing 15 lbs or more;3,00
home activities;walking and carrying small child, child weighing less than 15 lbs;2,30
home activities;standing, holding child;2,00
home activities;child care, infant, general;2,50
